Time,output
757,2944.62
758,2976.41
759,2993.74
800,3007.28
801,3020.66
802,3029.23
803,3042.61
804,3051.35
805,3057.71
806,3081.71
807,3093.87
808,3102.82
809,3111.08
810,3114.91
811,3125.27
812,3149.83
813,3154.07
814,3162.08
815,3176.79
816,3175.87
817,3185.6
818,3198.05
819,3209.25
820,3222.6
821,3235.2
822,3251.5
823,3256.77
824,3266.05
825,3275.8
826,3288.19
827,3303.64
828,3314.51
829,3323.82
830,3332.67
831,3343.31
832,3353.45
833,3367.45
834,3377.61
835,3383.29
836,3392.45
837,3399.63
838,3407.74
839,3411.3
840,3421.85
841,3436.66
842,3448.41
843,3432.99
844,3442.09
845,3449.22
846,3457.53
847,3467.85
848,3474.53
849,3504.31
850,3507.02
851,3520.52
852,3525.11
853,3529.1
854,3539.94
855,3552.23
856,3559.72
857,3563.25
858,3576.9
859,3581.07
900,3593.52
901,3608.07
902,3597.23
903,3609.53
904,3618.67
905,3629.07
906,3640.82
907,3659.61
908,3652.16
909,3660.78
910,3662.37
911,3669.3
912,3684.47
913,3684.68
914,3689.03
915,3693.44
916,3697.44
917,3703.74
918,3707.33
919,3728.79
920,3725.03
921,3738.97
922,3747.36
923,3753.15
924,3761.34
925,3750.34
926,3756.02
927,3768.1
928,3774.23
929,3779.71
930,3759.16
931,3766.12
932,3767.15
933,3773.46
934,3777.34
935,3800.22
936,3789.56
937,3788.61
938,3799.13
939,3803.75
940,3800.08
941,3829.94
942,3833.08
943,3836.03
944,3844.73
945,3855.04
946,3855.06
947,3855.07
948,3861.79
949,3869.55
950,3876.89
951,3884.49
952,3890.4
953,3894.32
954,3899.03
955,3899.87
956,3901.81
957,3907.66
958,3914.14
959,3913.68
1000,3917.39
1001,3920.54
1002,3924.84
1003,3928.22
1004,3927.17
1005,4314.42
1006,4536.61
1007,4536.15
1008,4534.01
1009,4545.81
1010,4540.99
1011,3982.22
1012,3995.12
1013,4000.05
1014,4008.57
1015,4018.64
1016,4019.54
1017,4018.49
1018,4021.96
1019,4027.56
1020,4035.95
1021,4047.05
1022,4054.56
1023,4054.24
1024,4051.64
